977,"Dead Beat",1994,4
980,"Dead Funny",1994,4
1019,"Deep Down",1994,4
1032,"Dellamorte Dellamore",1994,4
1123,"Dont Do It",1994,4
1136,"Double Happiness",1994,3
1199,"Dôkyûsei",1994,4
1237,"Embrace of the Vampire",1994,4
1291,"Erotique",1994,4
1341,"Exotica",1994,4
1346,"Exquisite Tenderness",1994,4
1394,"Farinelli: il castrato",1994,4
1406,"Father and Scout",1994,2
1415,"Feast at Midnight, A",1994,2
1475,"Flight of the Dove, The",1994,4
1481,"Floundering",1994,4
1507,"Force On Force",1994,4
1637,"Girls in Prison",1994,4
1643,"Gladiator Cop",1994,4
1650,"Go Fish",1994,4
1796,"Heavenly Creatures",1994,4
1837,"Highlander III: The Sorcerer",1994,3
1961,"I Spy Returns",1994,3
2105,"Jailbreakers",1994,4
2293,"Ladybird Ladybird",1994,4
2542,"Lunarcop",1994,4
2564,"Madness of King George, The",1994,3
2674,"Men of War",1994,4
2776,"Mosaic Project, The",1994,4
2779,"Mostro, Il",1994,4
2817,"Muriels Wedding",1994,4
2825,"Mute Witness",1994,4
2845,"My Lifes in Turnaround",1994,4
2860,"Nadja",1994,4
2909,"Night and the Moment, The",1994,4
2992,"Of Love and Shadows",1994,4
3014,"Once Were Warriors",1994,4
3113,"Pao Da Shuang Deng",1994,4
3139,"Payback",1994,4
3221,"Playing Dangerous",1994,3
3280,"Priest",1994,4
3295,"Probable Cause",1994,4
3319,"Pterodactyl Woman from Beverly Hills",1994,4
3326,"Pura formalità, Una",1994,3
3346,"Raffle, The",1994,3
3355,"Rampo",1994,4
3376,"Raw Justice",1994,4
3399,"Red Scorpion 2",1994,4
3416,"Relative Fear",1994,4
3571,"Savate",1994,4
3690,"Shake, Rattle and Rock!",1994,3
3694,"Shallow Grave",1994,4
3759,"Sin & Redemption",1994,3
3772,"Sister My Sister",1994,4
3851,"Somebody to Love",1994,4
3866,"Sorceress",1994,4
4033,"Sum of Us, The",1994,4
4075,"Swimming with Sharks",1994,4
4148,"Texas Payback",1994,4
4155,"There Goes My Baby",1994,4
4226,"To Die for",1994,4
4235,"Tollbooth",1994,4
4346,"Un indien dans la ville",1994,2
4390,"Utomlyonnye solntsem",1994,4
4492,"Warrior Spirit",1994,3
4579,"Widows Kiss",1994,4
4619,"Witch Hunt",1994,4
4733,"la folie",1994,4
26,"3 Ninjas Knuckle Up",1995,3
50,"Above Suspicion",1995,4
58,"Ace Ventura: When Nature Calls",1995,3
103,"Alien Escape",1995,4
105,"Alien Within, The",1995,4
129,"Amanda and the Alien",1995,4
133,"Amazing Panda Adventure, The",1995,2
148,"American President, The",1995,3
170,"Android Affair, The",1995,3
177,"Angels & Insects",1995,4
180,"Angus",1995,3
184,"Animal Room",1995,4
188,"Anne Frank Remembered",1995,2
195,"Antonia",1995,4
205,"Apollo 13",1995,2
3642,"Senseless",1998,4
228,"As Good as Dead",1995,3
234,"Assassins",1995,4
246,"Attack of the 60 Foot Centerfold",1995,4
252,"Aurora: Operation Intercept",1995,4
263,"Awfully Big Adventure, An",1995,4
269,"Baby Face Nelson",1995,4
273,"Baby-Sitters Club, The",1995,2
275,"Babysitter, The",1995,4
279,"Back of Beyond",1995,4
282,"Backfire!",1995,3
287,"Bad Boys",1995,4
323,"Basketball Diaries, The",1995,4
327,"Batman Forever",1995,3
331,"Beach Babes 2: Cave Girl Island",1995,4
368,"Best of the Best 3: No Turning Back",1995,4
377,"Beyond Desire",1995,4
379,"Beyond Rangoon",1995,4
392,"Big Green, The",1995,2
408,"Bikini Bistro",1995,4
409,"Bikini Drive-In",1995,4
415,"Billys Holiday",1995,4
427,"Black Day Blue Night",1995,4
436,"Black Scorpion",1995,4
463,"Blonde Heaven",1995,4
464,"Blondes Have More Guns",1995,4
465,"Blood & Donuts",1995,4
490,"Blue Juice",1995,4
501,"Body Chemistry 4: Full Exposure",1995,4
502,"Body Language",1995,4
530,"Born Wild",1995,2
544,"Boy Called Hate, A",1995,4
556,"Braveheart",1995,4
563,"Break, The",1995,3
567,"Breaking Free",1995,2
579,"Bridges of Madison County, The",1995,3
585,"Broadcast Bombshells",1995,4
599,"Brothers McMullen, The",1995,4
600,"Brothers Destiny",1995,2
608,"Bucket of Blood",1995,4
614,"Bullet to Beijing",1995,4
625,"Bye Bye, Love",1995,3
630,"Cafe Society",1995,4
631,"Caged Hearts",1995,4
644,"Candyman: Farewell to the Flesh",1995,4
648,"Captain Nuke and the Bomber Boys",1995,2
650,"Captiva Island",1995,2
654,"Captured Alive",1995,4
666,"Carrington",1995,4
667,"Casino",1995,4
668,"Casper",1995,2
673,"Castle Freak",1995,4
686,"Cellblock Sisters: Banished Behind Bars",1995,4
696,"Chameleon",1995,4
724,"Children of the Dust",1995,4
747,"Cilantro y perejil",1995,3
748,"Circle of Friends",1995,3
752,"Citizen X",1995,4
757,"Cité des enfants perdus, La",1995,4
767,"Clockers",1995,4
782,"Clueless",1995,3
784,"Codename: Silencer",1995,4
790,"Coldblooded",1995,4
796,"Comfortably Numb",1995,5
809,"Congo",1995,3
829,"Copycat",1995,4
845,"Courtyard, The",1995,4
847,"Cover Me",1995,4
867,"Crazysitter, The",1995,3
879,"Crimson Tide",1995,4
888,"Crossing Guard, The",1995,4
893,"Crude Oasis, The",1995,4
898,"Cry, the Beloved Country",1995,3
905,"Cure, The",1995,3
913,"Cutthroat Island",1995,3
919,"Cyborg Cop III",1995,4
932,"Dance Me Outside",1995,4
944,"Dangerous Minds",1995,4
952,"Dark Dancer, The",1995,4
978,"Dead Cold",1995,4
986,"Dead Man Walking",1995,4
989,"Dead Presidents",1995,4
993,"Dead Weekend",1995,4
998,"Deadly Outbreak",1995,4
1008,"Death Machine",1995,4
1015,"Decoy",1995,4
1034,"Delta of Venus",1995,5
1037,"Demolitionist, The",1995,4
1040,"Denise Calls Up",1995,3
1045,"Desert Blues",1995,4
1050,"Desperado",1995,4
1053,"Destination Vegas",1995,4
1054,"Destiny Turns on the Radio",1995,4
1061,"Devil in a Blue Dress",1995,4
1066,"Devotion",1995,4
1075,"Die Hard: With a Vengeance",1995,4
1080,"Digital Man",1995,4
1082,"Dillinger and Capone",1995,4
1117,"Dolores Claiborne",1995,4
1119,"Dominion",1995,4
1131,"Doom Generation, The",1995,4
1146,"Down Came a Blackbird",1995,4
1152,"Down, Out & Dangerous",1995,4
1157,"Dr. Jekyll and Ms. Hyde",1995,3
