\N,3,8
\N,4706,8
\N,4,6
\N,4,14
\N,5,6
\N,6,5
\N,6,8
\N,8,11
\N,8,13
\N,8,17
\N,9,1
\N,9,3
\N,9,10
\N,13,5
\N,13,8
\N,14,8
\N,15,5
\N,15,8
\N,16,6
\N,16,7
\N,16,14
\N,17,6
\N,17,8
\N,20,6
\N,20,8
\N,22,6
\N,24,5
\N,24,8
\N,25,8
\N,26,6
\N,27,9
\N,27,1
\N,27,6
\N,28,1
\N,28,17
\N,28,6
\N,28,5
\N,29,6
\N,29,14
\N,30,17
\N,30,11
\N,31,1
\N,31,6
\N,32,8
\N,4707,8
\N,33,1
\N,33,15
\N,33,17
\N,4708,8
\N,34,4
\N,34,6
\N,34,12
\N,36,6
\N,36,5
\N,37,8
\N,37,12
\N,38,13
\N,38,17
\N,41,8
\N,41,17
\N,44,8
\N,45,8
\N,47,8
\N,47,6
\N,49,8
\N,50,8
\N,53,8
\N,55,17
\N,57,13
\N,58,6
\N,61,3
\N,61,1
\N,61,5
\N,61,18
\N,62,6
\N,63,9
\N,63,6
\N,66,1
\N,66,15
\N,67,6
\N,67,1
\N,67,15
\N,68,10
\N,68,6
\N,69,6
\N,69,8
\N,71,8
\N,72,8
\N,73,5
\N,73,8
\N,76,6
\N,76,8
\N,76,14
\N,77,6
\N,77,8
\N,79,9
\N,79,6
\N,79,8
\N,80,1
\N,80,17
\N,80,3
\N,80,8
\N,81,1
\N,81,3
\N,83,1
\N,83,3
\N,84,3
\N,84,1
\N,87,6
\N,88,3
\N,89,5
\N,89,8
\N,89,17
\N,90,17
\N,92,8
\N,92,14
\N,93,6
\N,93,11
\N,93,12
\N,93,19
\N,94,1
\N,94,8
\N,95,6
\N,95,17
\N,97,8
\N,100,6
\N,100,15
\N,101,6
\N,101,15
\N,102,3
\N,102,15
\N,104,8
\N,104,17
\N,105,11
\N,105,15
\N,106,15
\N,106,1
\N,106,11
\N,106,17
\N,108,1
\N,108,6
\N,108,5
\N,109,8
\N,109,14
\N,110,14
\N,110,8
\N,111,6
\N,112,8
\N,112,12
\N,114,8
\N,116,8
\N,116,17
\N,117,8
\N,117,19
\N,118,8
\N,119,8
\N,119,14
\N,120,8
\N,121,14
\N,121,8
\N,121,6
\N,122,3
\N,122,6
\N,125,17
\N,125,5
\N,125,13
\N,86,8
\N,126,8
\N,129,6
\N,129,15
\N,130,8
\N,130,14
\N,132,8
\N,133,9
\N,133,3
\N,134,8
\N,134,1
\N,134,3
\N,137,6
\N,138,8
