2013,732
1193,238
2568,322
3965,1331
3121,1533
78,39
3697,481
2791,1266
887,457
2261,1727
1580,1694
3448,822
2270,1234
365,810
2250,1725
3045,168
2537,1214
1115,468
1461,699
2194,1720
290,555
407,1638
1386,507
1338,1680
4427,1049
3210,9
2181,73
4039,352
1739,1704
1070,1159
2806,761
3555,830
3266,301
3604,1555
4498,872
1530,112
2264,1909
1455,951
929,674
3723,842
3178,568
1490,952
4565,60
1049,319
4605,85
4145,269
1732,180
3398,1551
3250,933
3182,349
449,1855
2952,1177
798,666
4408,58
3630,1918
3141,807
3181,625
2577,771
4707,1374
1921,1472
1506,954
3621,9
79,630
4174,1957
3297,13
1750,1206
3517,85
2216,255
3321,570
2668,1508
759,1419
1189,1443
412,646
584,210
4001,1333
1429,948
3549,575
1699,1702
2473,118
3276,563
1101,1339
4111,580
416,907
1051,1156
1159,1439
3416,150
1553,27
3291,444
4243,1355
1796,124
4618,363
2492,43
3889,60
623,916
2807,555
2182,202
1054,168
2005,1475
1204,605
264,190
2173,791
2,625
639,1645
4504,321
1769,1893
2849,790
2533,1744
3380,22
3358,1303
1631,1454
587,9
3489,1306
3230,22
1143,995
2989,1020
4507,1601
4021,933
634,657
190,1107
345,425
4378,399
3208,1449
3750,378
44,1102
443,878
3167,1454
4428,403
3170,1034
3929,1421
808,104
1946,1899
1568,10
1127,60
1736,966
691,1415
3445,1305
696,168
3963,340
660,918
1175,1674
644,152
4437,404
2301,1732
2135,340
69,884
108,1519
714,449
273,186
4342,1934
4312,446
3678,838
4514,615
3907,1576
1959,506
4635,1973
2747,719
2809,1267
3661,1936
847,220
25,13
1256,1171
3109,1045
4589,8
3397,132
2047,1442
2888,1518
93,417
1659,778
4527,616
4333,766
352,213
4719,878
873,83
2229,301
3849,172
3192,350
3472,1176
4075,158
4036,218
1951,974
3691,581
2127,670
3082,860
3427,1768
712,1651
3874,1804
4236,394
4475,9
3562,1052
1828,971
2780,786
1133,716
3280,144
613,440
4603,1971
650,207
321,902
649,444
3097,180
967,1664
1964,727
4716,877
1112,1876
445,647
2845,136
3513,863
1881,63
1763,500
2841,172
2255,11
4129,744
4476,1364
1169,1164
2246,1724
3989,230
2391,6
140,220
2413,1738
1045,237
1032,110
2971,52
1084,1435
4444,1271
4185,175
2397,236
3357,13
1771,1205
1053,238
2573,169
1885,1710
3529,6
2460,929
245,1112
4156,719
287,189
936,928
2771,784
4376,1362
575,48
2889,1047
4570,31
835,351
1597,13
3688,860
2567,540
4416,1827
3715,1563
1716,112
4530,791
1891,321
3755,164
2555,539
4355,397
2785,634
4041,453
4489,1366
13,1100
4398,301
1057,1157
211,853
1024,681
2521,85
3888,845
3193,9
4442,532
572,165
3083,1287
4454,9
3642,180
392,193
265,85
1062,682
4318,151
3689,828
4545,1089
1878,584
4294,1357
1734,278
1646,9
2738,165
582,165
1919,179
4249,861
1255,941
3926,1944
1880,721
1528,486
4196,1176
530,13
743,1220
4334,707
3905,296
3370,1550
2770,1513
3042,1528
3271,1430
1788,172
3769,265
3934,6
2427,1498
3220,1036
4517,426
1015,234
2267,1729
2325,60
721,180
404,1853
4290,863
2651,1751
2504,764
3078,347
1840,1708
4306,11
3619,14
3063,804
2007,165
2098,323
4279,220
1815,1707
4301,239
4410,1084
1895,165
2455,736
3805,13
2337,1735
4425,402
3611,578
1158,1438
4300,9
604,275
2734,549
520,652
1883,722
1756,92
191,112
4226,161
1633,271
236,228
540,179
1218,56
1346,101
1679,165
3147,165
135,418
1226,168
3649,835
1925,37
3743,9
3654,11
1934,269
2078,150
1190,470
864,1150
3228,839
3123,769
2454,993
371,1118
629,531
249,1384
465,198
2477,760
2870,13
4696,1614
3797,380
3133,1535
952,229
2499,195
2627,1257
1257,1676
45,1619
489,6
3594,212
2292,986
3911,1327
207,482
3185,810
1511,955
676,1134
3190,1541
213,1630
4090,1342
2252,1726
3188,1778
1890,670
3863,1574
2653,336
3388,165
2338,1495
1103,856
3486,244
1149,469
1261,85
2560,1745
2483,761
3206,909
2858,791
2381,532
336,1388
2094,982
1203,1664
3920,267
67,172
1816,1895
3977,239
516,497
420,430
2604,1254
2220,1906
4353,60
4539,1605
1428,484
3635,372
4291,1690
2307,1733
992,353
665,445
4115,1075
688,447
198,1108
3282,1038
842,338
1163,27
4175,1347
4631,1371
2562,997
4114,1150
1481,121
2315,987
551,437
925,152
3169,809
3027,1021
2664,1646
2082,1483
1439,1688
4356,1594
2625,1158
2970,1521
3359,259
388,1119
793,1142
3369,571
3741,1618
2802,364
532,152
1857,378
1635,1698
2534,611
2227,1231
3986,6
2622,338
3673,1558
1388,1684
3420,49
2944,1018
984,465
3,626
408,194
3201,60
1096,92
3203,304
2597,444
1705,275
4360,398
3871,717
1695,1458
2742,282
378,905
15,11
4563,1369
2219,142
596,271
3592,175
4687,172
2176,150
413,1394
592,1407
384,340
4292,164
3807,282
2428,533
377,192
